column,metric,value
id,row_count,226
id,non_missing_count,226
id,missing_count,0
id,missing_pct,0.0
id,type,numeric
id,mean,113.5
id,median,113.5
id,min,1.0
id,max,226.0
id,std_dev,65.385
date_admit,row_count,226
date_admit,non_missing_count,224
date_admit,missing_count,2
date_admit,missing_pct,0.88
date_admit,type,categorical
date_admit,unique_values,109
date_admit,top_1_value,4/1/2023
date_admit,top_1_count,14
date_admit,top_1_pct_non_missing,6.25
date_admit,top_2_value,3/6/2023
date_admit,top_2_count,10
date_admit,top_2_pct_non_missing,4.46
date_admit,top_3_value,11/22/2022
date_admit,top_3_count,6
date_admit,top_3_pct_non_missing,2.68
date_admit,top_4_value,3/31/2023
date_admit,top_4_count,6
date_admit,top_4_pct_non_missing,2.68
date_admit,top_5_value,3/27/2023
date_admit,top_5_count,5
date_admit,top_5_pct_non_missing,2.23
date_outcome,row_count,226
date_outcome,non_missing_count,219
date_outcome,missing_count,7
date_outcome,missing_pct,3.1
date_outcome,type,categorical
date_outcome,unique_values,114
date_outcome,top_1_value,4/3/2023
date_outcome,top_1_count,12
date_outcome,top_1_pct_non_missing,5.48
date_outcome,top_2_value,3/1/2023
date_outcome,top_2_count,8
date_outcome,top_2_pct_non_missing,3.65
date_outcome,top_3_value,4/4/2023
date_outcome,top_3_count,7
date_outcome,top_3_pct_non_missing,3.2
date_outcome,top_4_value,4/2/2023
date_outcome,top_4_count,6
date_outcome,top_4_pct_non_missing,2.74
date_outcome,top_5_value,11/16/2022
date_outcome,top_5_count,5
date_outcome,top_5_pct_non_missing,2.28
outcome,row_count,226
outcome,non_missing_count,226
outcome,missing_count,0
outcome,missing_pct,0.0
outcome,type,categorical
outcome,unique_values,2
outcome,top_1_value,Alive
outcome,top_1_count,180
outcome,top_1_pct_non_missing,79.65
outcome,top_2_value,Dead
outcome,top_2_count,46
outcome,top_2_pct_non_missing,20.35
age,row_count,226
age,non_missing_count,217
age,missing_count,9
age,missing_pct,3.98
age,type,numeric
age,mean,33.982
age,median,32.0
age,min,0.0
age,max,79.0
age,std_dev,16.158
sex,row_count,226
sex,non_missing_count,217
sex,missing_count,9
sex,missing_pct,3.98
sex,type,categorical
sex,unique_values,2
sex,top_1_value,Male
sex,top_1_count,153
sex,top_1_pct_non_missing,70.51
sex,top_2_value,Female
sex,top_2_count,64
sex,top_2_pct_non_missing,29.49
site,row_count,226
site,non_missing_count,226
site,missing_count,0
site,missing_pct,0.0
site,type,categorical
site,unique_values,2
site,top_1_value,Mama Lucy Kibaki Hospital
site,top_1_count,120
site,top_1_pct_non_missing,53.1
site,top_2_value,Mbagathi Hospital
site,top_2_count,106
site,top_2_pct_non_missing,46.9
referred,row_count,226
referred,non_missing_count,224
referred,missing_count,2
referred,missing_pct,0.88
referred,type,categorical
referred,unique_values,2
referred,top_1_value,No
referred,top_1_count,141
referred,top_1_pct_non_missing,62.95
referred,top_2_value,Yes
referred,top_2_count,83
referred,top_2_pct_non_missing,37.05
dehydrated,row_count,226
dehydrated,non_missing_count,199
dehydrated,missing_count,27
dehydrated,missing_pct,11.95
dehydrated,type,categorical
dehydrated,unique_values,3
dehydrated,top_1_value,severe
dehydrated,top_1_count,110
dehydrated,top_1_pct_non_missing,55.28
dehydrated,top_2_value,moderate
dehydrated,top_2_count,65
dehydrated,top_2_pct_non_missing,32.66
dehydrated,top_3_value,no/mild
dehydrated,top_3_count,24
dehydrated,top_3_pct_non_missing,12.06
tx_plan_appropriate,row_count,226
tx_plan_appropriate,non_missing_count,217
tx_plan_appropriate,missing_count,9
tx_plan_appropriate,missing_pct,3.98
tx_plan_appropriate,type,categorical
tx_plan_appropriate,unique_values,2
tx_plan_appropriate,top_1_value,Yes
tx_plan_appropriate,top_1_count,130
tx_plan_appropriate,top_1_pct_non_missing,59.91
tx_plan_appropriate,top_2_value,No
tx_plan_appropriate,top_2_count,87
tx_plan_appropriate,top_2_pct_non_missing,40.09
